Country,Last,Previous,Reference
Afghanistan,20,20,Dec22
Albania,23,23,Dec23
Algeria,35,35,Dec23
Angola,25,25,Dec23
Argentina,35,35,Dec23
Armenia,20,21Dec23
Aruba,52,52,Dec24
Australia,45,45,Dec23
Austria,55,55,Dec23
Azerbaijan,25,25,Dec23
Bahamas,0,0,Dec23
Bahrain,0,0,Dec23
Bangladesh,25,25,Dec22
Barbados,28.5,28.5,Dec23
Belarus,13,13,Dec22
Belgium,50,50,Dec24
Bermuda,0,0,Dec23
Bolivia,13,13,Dec23
Bosnia and Herzegovina,10,10,Dec23
Botswana,25,25,Dec23
Brazil,27.5,27.5,Dec23
Brunei,0,0,Dec23
Bulgaria,10,10,Dec23
Cambodia,20,20,Dec23
Cameroon,38.5,38.5,Dec23
Canada,33,33,Dec23
Cayman Islands,0,0,Dec23
Chad,30,30,Dec23
Chile,40,40,Dec24
China,45,45,Dec24
Colombia,39,39,Dec24
Congo,40,40,Dec23
Costa Rica,25,25,Dec23
Croatia,30,30,Dec23
Cyprus,35,35,Dec23
Czech Republic,23,23,Dec23
Denmark,55.9,55.9,Dec24
Dominican Republic,25,25,Dec23
Ecuador,37,37,Dec23
Egypt,27.5,25,Dec23
El Salvador,30,30,Dec23
Equatorial Guinea,35,35,Dec23
Estonia,20,20,Dec24
Ethiopia,35,35,Dec24
Euro area,42.9,43Dec22
European Union,37.8,36.9,Dec21
Fiji,20,20,Dec22
Finland,57.357,Dec24
France,45,45,Dec24
Gabon,35,35,Dec23
Gambia,30,30,Dec24
Georgia,20,20,Dec23
Germany,45,45,Dec23
Ghana,30,30,Dec23
Greece,44,44,Dec23
Guatemala,7,7,Dec23
Guinea,40,40,Dec23
Honduras,25,25,Dec23
Hong Kong,15,15,Dec23
Hungary,15,15,Dec22
Iceland,46.25,46.25,Dec23
India,42.74,42.74Dec22
Indonesia,35,35,Dec23
Iraq,15,15,Dec23
Ireland,40,40,Dec23
Isle of Man,20,20,Dec23
Israel,50,50,Dec23
Italy,43,43,Dec23
Jamaica,30,30,Dec23
Japan,55.97,55.95,Dec21
Jordan,30,30,Dec23
Kazakhstan,10,10,Dec23
Kenya,30,30,Dec23
Kosovo,10,10,Dec23
Kuwait,0,0,Dec23
Laos,25,25,Dec23
Latvia,31,31,Dec23
Lebanon,25,25,Dec23
Lesotho,30,30,Dec23
Libya,10,10,Dec23
Liechtenstein,22.4,22.4,Dec23
Lithuania,20,20,Dec23
Luxembourg,42,42,Dec24
Macau,12,12,Dec23
Macedonia,10,10,Dec23
Madagascar,20,20,Dec23
Malawi,35,40,Dec23
Malaysia,30,30,Dec23
Malta,35,35,Dec24
Mauritania,40,40,Dec23
Mauritius,15,15,Dec23
Mexico,35,35,Dec23
Moldova,12,12,Dec23
Mongolia,20,10,Dec23
Montenegro,9,9,Dec22
Morocco,38,38,Dec23
Mozambique,32,32,Dec23
Myanmar,25,25,Dec23
Namibia,37,37,Dec23
Netherlands,49.5,49.5,Dec23
New Zealand,39,39,Dec24
Nicaragua,30,30,Dec23
Nigeria,24,24,Dec23
Norway,39.6,39.6,Dec24
Oman,0,0,Dec23
Pakistan,35,35,Dec23
Panama,25,25,Dec23
Papua New Guinea,42,42,Dec23
Peru,30,30,Dec23
Philippines,35,35,Dec23
Poland,32,32,Dec23
Portugal,48,48,Dec23
Puerto Rico,33,33,Dec23
Qatar,0,0,Dec23
Republic of the Congo,40,40,Dec23
Romania,10,10,Dec23
Russia,13,13,Dec22
Rwanda,30,30,Dec23
Samoa,27,27,Dec23
Saudi Arabia,0,0,Dec24
Senegal,43,40,Dec23
Serbia,10,10,Dec22
Seychelles,15,15,Dec22
Sierra Leone,15,15,Dec23
Singapore,22,22,Dec22
Slovakia,25,25,Dec23
Slovenia,50,50,Dec22
South Africa,45,45,Dec23
South Korea,45,45,Dec23
Spain,47,47,Dec23
Sri Lanka,18,18,Dec23
Sudan,15,15,Dec22
Suriname,38,38,Dec23
Swaziland,33,33,Dec23
Sweden,52.3,52.3Dec23
Switzerland,40,40,Dec23
Syria,22,22,Dec22
Taiwan,40,40,Dec23
Tajikistan,12,12,Dec23
Tanzania,30,30,Dec23
Thailand,35,35,Dec23
Trinidad And Tobago,25,25,Dec23
Tunisia,35,35,Dec23
Turkey,40,40,Dec23
Uganda,40,40,Dec23
Ukraine,18,18,Dec23
United Arab Emirates,0,0,Dec23
United Kingdom,45,45,Dec23
United States,37,37,Dec23
Uruguay,36,36,Dec23
Uzbekistan,12,12,Dec23
Venezuela,34,34,Dec23
Vietnam,35,35,Dec23
Zambia,37.5,37.5,Dec23
Zimbabwe,41.2,41.2Dec23
