LOCATION,2014,2015,2016,2017,2018,2019,2020
Afghanistan,50,50,50,50,50,50,50
Albania,16.7,16.7,16.7,15,15,15,15
Algeria,26,26,26,26,26,26,26
Angola,8,8,8,27,8,8,8
Anguilla,5,5,5,5,5,5,5
Antigua and Barbuda,6,6,6,6,6,7.5,7.75
Argentina,27,27,27,27,26.7,26.7,20.4
Armenia,35,35,35,0,0,0,0
Aruba,10,10.5,10.5,10.5,11,11,11
Austria,21.83,21.63,21.63,21.48,21.48,21.38,21.38
Bahamas,5.9,5.9,5.9,5.9,5.9,5.9,5.9
Bangladesh,0,0,0,0,0,0,0
Barbados,11.25,11.25,11.25,11.25,11.25,12.75,12.75
Belarus,34,34,34,34,34,34,34
Belgium,35,35,35,32.5,27.5,27.5,27.5
Bermuda,,,,0,0,0,0
Bosnia and Herzegovina,10.5,10.5,10.5,11,11,10.5,10.5
Botswana,0,0,0,0,0,0,0
Brazil,31.8,29,20,29,29,29,29
Brunei Darussalam,8.5,8.5,8.5,8.5,8.5,8.5,8.5
Bulgaria,18.1,18.1,18.1,19.06,19.02,19.02,19.02
Cambodia,,,,,3.4,3.4,3.4
Canada,7.51,7.58,7.58,7.23,7.27,7.37,7.37
Cayman Islands,0,0,0,0,0,0,0
Chile,,,4.5,4.5,5,5,5
China,35,35,35,33.9,32.9,32,28.52
Colombia,20.5,20.5,20.5,20.5,21,21,21
Congo (Democratic Republic of the),5,9,9,9,9,9,9
Costa Rica,26.17,26.17,26.33,26.33,26.33,26.33,26.5
Croatia,17.2,17.2,17.2,17.2,17.2,16.5,16.5
Curacao,9.5,9.5,9.5,9.5,10,10,10
Cyprus,11.5,11.5,11.5,7.8,7.8,8.3,8.3
Czech Republic,34,34,34,34,34,34,33.8
Denmark,,,,0,0,0,0
Dominica,,,,,,6.75,7
Dominican Republic,15.37,16.25,14.19,14.29,14,14,15.5
Ecuador,11.15,11.15,11.15,12.15,12.15,12.15,12.15
Egypt,24.8,24.7,24.7,26,26,26,26
El Salvador,7.5,7.5,7.5,7.5,7,7,7.5
Estonia,34,33.8,33.8,33.8,33.8,33.8,33.8
Ethiopia,,,,11,11,11,11
Fiji,8,8,8,8,8,10,10
Finland,23.74,23.23,24.99,23.2,22.08,20.17,20.76
France,,45,43.4,45,45,45,45
Georgia,,,,,,,2
Germany,19.58,19.33,19.33,19.43,19.38,19.83,19.88
Ghana,13,13,13,13,13,13,13
Gibraltar,20,20,20,20,20,20,20
Greece,27.46,24.56,25.06,24.06,25.06,25.06,24.81
Grenada,,,,,,5,5
Guatemala,12.67,12.67,12.67,12.67,12.67,12.67,12.67
Guernsey,6.5,6.5,6.5,6.6,6.6,6.6,6.6
Honduras,7.2,7.2,8.5,10.66,10.2,10.66,10.66
Hong Kong SAR,0,0,0,0,0,0,0
Hungary,28.5,28.5,28.5,23.5,21,21,21
